
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006583                       # Number of seconds simulated (Second)
simTicks                                   6582830000                       # Number of ticks simulated (Tick)
finalTick                                  6582830000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     32.41                       # Real time elapsed on the host (Second)
hostTickRate                                203088318                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1208148                       # Number of bytes of host memory used (Byte)
simInsts                                     12026923                       # Number of instructions simulated (Count)
simOps                                       12150015                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   371044                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     374841                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6582832                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.547341                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.827014                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16310419                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16653                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15266638                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8363                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4177056                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1974289                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2039                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6501247                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.348263                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.089815                       # Number of insts issued each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         2880458     45.24%     45.24% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         1145791     18.00%     63.24% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          732679     11.51%     74.74% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          308300      4.84%     79.59% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          238187      3.74%     83.33% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          135351      2.13%     85.45% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          178345      2.80%     88.25% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           69031      1.08%     89.34% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          678897     10.66%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      6367039                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                        2517                       # Number of memory barriers committed (Count)
system.cpu.commit.committedInstType_0::No_OpClass        13338      0.11%      0.11% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      7478006     61.55%     61.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult         9382      0.08%     61.73% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         5377      0.04%     61.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd       234330      1.93%     63.71% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp       345858      2.85%     66.55% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt        22893      0.19%     66.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult        90977      0.75%     67.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc       180262      1.48%     68.97% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv         3456      0.03%     69.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc        50846      0.42%     69.42% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt         3327      0.03%     69.45% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd        85580      0.70%     70.15% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     70.15% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     70.15% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     70.15% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     70.15% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc         5208      0.04%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMatMultAcc            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     70.20% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd        47204      0.39%     70.58% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     70.58% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp         9604      0.08%     70.66% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt         9604      0.08%     70.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     70.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     70.74% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult        22552      0.19%     70.93% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc        44248      0.36%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMatMultAcc            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd          196      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd           80      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha3            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSm4e            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCrc            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDotProd            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::Matrix            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixMov            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixOP            0      0.00%     71.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead      1298261     10.69%     81.98% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite       726683      5.98%     87.96% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead      1119930      9.22%     97.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite       219735      1.81%     98.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%     98.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideLoad         3313      0.03%     99.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideStore        17215      0.14%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskLoad            0      0.00%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskStore            0      0.00%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedLoad            0      0.00%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedStore            0      0.00%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedLoad            0      0.00%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedStore            0      0.00%     99.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterLoad         9604      0.08%     99.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterStore            1      0.00%     99.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     99.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedLoad        66372      0.55%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStrideSegmentedLoad            0      0.00%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStrideSegmentedStore            0      0.00%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdExt            0      0.00%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatExt            0      0.00%     99.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdConfig        26573      0.22%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16Add            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16Cmp            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16Cvt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16DotProd            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16MatMultAcc            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16Mult            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdBf16MultAcc            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::Bf16Cvt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::System            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total     12150015                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples        678897                       # number cycles where commit BW limit reached (Cycle)
system.cpu.commitStats0.numInsts             12026923                       # Number of instructions committed (thread level) (Count)
system.cpu.commitStats0.numOps               12150015                       # Number of ops (including micro ops) committed (thread level) (Count)
system.cpu.commitStats0.numInstsNotNOP       12026923                       # Number of instructions committed excluding NOPs or prefetches (Count)
system.cpu.commitStats0.numOpsNotNOP         12150015                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.commitStats0.numUserInsts         12026923                       # Numbrer of instructions committed in user mode (Count)
system.cpu.commitStats0.numUserOps           12150015                       # Number of ops committed in user mode (Count)
system.cpu.commitStats0.ratioUserInsts              1                       # Ratio of instructions committed in user mode (Ratio)
system.cpu.commitStats0.ratioUserOps                1                       # Ratio of ops committed in user mode (Ratio)
system.cpu.commitStats0.cpi                  0.547341                       # CPI: cycles per instruction (thread level) ((Cycle/Count))
system.cpu.commitStats0.ipc                  1.827014                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.commitStats0.numMemRefs            3461114                       # Number of memory references committed (Count)
system.cpu.commitStats0.numFpInsts            2272558                       # Number of float instructions (Count)
system.cpu.commitStats0.numIntInsts          11121897                       # Number of integer instructions (Count)
system.cpu.commitStats0.numLoadInsts          2496848                       # Number of load instructions (Count)
system.cpu.commitStats0.numStoreInsts          964266                       # Number of store instructions (Count)
system.cpu.commitStats0.numVecInsts            347354                       # Number of vector instructions (Count)
system.cpu.commitStats0.committedInstType::No_OpClass        13338      0.11%      0.11% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntAlu      7478006     61.55%     61.66% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntMult         9382      0.08%     61.73% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntDiv         5377      0.04%     61.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatAdd       234330      1.93%     63.71% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCmp       345858      2.85%     66.55% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCvt        22893      0.19%     66.74% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMult        90977      0.75%     67.49% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMultAcc       180262      1.48%     68.97% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatDiv         3456      0.03%     69.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMisc        50846      0.42%     69.42% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatSqrt         3327      0.03%     69.45% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAdd        85580      0.70%     70.15% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAddAcc            0      0.00%     70.15% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAlu            0      0.00%     70.15% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCmp            0      0.00%     70.15% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCvt            0      0.00%     70.15% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMisc         5208      0.04%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMult            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMultAcc            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMatMultAcc            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShift            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShiftAcc            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdDiv            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSqrt            0      0.00%     70.20% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAdd        47204      0.39%     70.58% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAlu            0      0.00%     70.58% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCmp         9604      0.08%     70.66% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCvt         9604      0.08%     70.74% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatDiv            0      0.00%     70.74% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMisc            0      0.00%     70.74% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMult        22552      0.19%     70.93% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMultAcc        44248      0.36%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatSqrt            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAdd          196      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAlu            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceCmp            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd           80      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAes            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAesMix            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha3            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSm4e            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCrc            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdPredAlu            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdDotProd            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Matrix            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixMov            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixOP            0      0.00%     71.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemRead      1298261     10.69%     81.98% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemWrite       726683      5.98%     87.96% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemRead      1119930      9.22%     97.18% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemWrite       219735      1.81%     98.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%     98.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideLoad         3313      0.03%     99.01% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideStore        17215      0.14%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskLoad            0      0.00%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideMaskStore            0      0.00%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedLoad            0      0.00%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStridedStore            0      0.00%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedLoad            0      0.00%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdIndexedStore            0      0.00%     99.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterLoad         9604      0.08%     99.24% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdWholeRegisterStore            1      0.00%     99.24% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     99.24% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedLoad        66372      0.55%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedStore            0      0.00%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStrideSegmentedLoad            0      0.00%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdStrideSegmentedStore            0      0.00%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdExt            0      0.00%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatExt            0      0.00%     99.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdConfig        26573      0.22%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Add            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Cmp            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Cvt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16DotProd            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16MatMultAcc            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16Mult            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdBf16MultAcc            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Bf16Cvt            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::System            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::total     12150015                       # Class of committed instruction. (Count)
system.cpu.commitStats0.committedControl::IsControl      2047645                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsDirectControl      1859823                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsIndirectControl       187822                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCondControl      1582388                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsUncondControl       465257                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCall       135302                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsReturn       135297                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.functionCalls          135302                       # Number of function calls committed (Count)
system.cpu.commitStats0.numCallsReturns        270599                       # Number of function calls and returns committed (Count)
system.cpu.dcache.demandHits::cpu.data        3784150                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total           3784150                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data       3784150                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total          3784150                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data        41082                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total           41082                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data        41082                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total          41082                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data   3395256934                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total   3395256934                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data   3395256934                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total   3395256934                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data      3825232                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total       3825232                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data      3825232                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total      3825232                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.010740                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.010740                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.010740                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.010740                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data 82645.853026                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.demandAvgMissLatency::total 82645.853026                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data 82645.853026                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::total 82645.853026                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.blockedCycles::no_mshrs         4502                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets          599                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs          169                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets           24                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs      26.639053                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_wbuffers          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets    24.958333                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks         1927                       # number of writebacks (Count)
